county_fips,state,county_name,party_winner,dem_vote_share,kmeans_cluster,agglomerative_cluster,pca_1,pca_2
22069,LOUISIANA,NATCHITOCHES,0,0.416576054125891,2,1,-4.655671257941311,-2.305729253281521
22071,LOUISIANA,ORLEANS,1,0.8314859491955303,2,1,-2.229141710228481,-4.681977195127344
22073,LOUISIANA,OUACHITA,0,0.3746493942110285,2,1,-1.8009902573536682,-2.018174129822074
22075,LOUISIANA,PLAQUEMINES,0,0.3099691301979299,0,2,-0.11825387389977113,-0.93809609702362
22077,LOUISIANA,POINTE COUPEE,0,0.37854660092151,2,1,-2.1911633398424666,-0.8312050589522527
22079,LOUISIANA,RAPIDES,0,0.330841756561624,2,1,-1.3285244338252788,-1.634522855164761
22081,LOUISIANA,RED RIVER,0,0.3978702807357212,2,1,-3.239263430943811,-0.5960206191720276
22083,LOUISIANA,RICHLAND,0,0.3244466800804829,2,1,-3.1485698764938435,-1.0545352367867131
22085,LOUISIANA,SABINE,0,0.1633635334088335,2,2,-2.327864814763858,-0.356813310835129
22087,LOUISIANA,ST. BERNARD,0,0.3484985835694051,2,1,-2.259412028054455,-1.3005969609709347
22089,LOUISIANA,ST. CHARLES,0,0.3436546621313602,1,1,0.18669938904959707,-1.3752637912147745
22091,LOUISIANA,ST. HELENA,1,0.543358233192595,2,1,-4.668941731566719,-2.873731795214019
22093,LOUISIANA,ST. JAMES,1,0.517077045274027,2,1,-1.7944214792802453,-1.6401780057198219
22095,LOUISIANA,ST. JOHN THE BAPTIST,1,0.6337252706233669,2,1,-2.518264640884259,-2.9895414089584484
22097,LOUISIANA,ST. LANDRY,0,0.4221217864606114,2,1,-2.7470201681688255,-1.5555905621017778
22099,LOUISIANA,ST. MARTIN,0,0.3121162807899992,2,1,-1.7243315223758806,-1.1152508908027723
22101,LOUISIANA,ST. MARY,0,0.3474079185715518,2,1,-2.459478170842475,-1.1766266659926659
22103,LOUISIANA,ST. TAMMANY,0,0.2694026122332453,1,0,1.4477652995674029,-1.2769215399762128
22105,LOUISIANA,TANGIPAHOA,0,0.3275524184457432,2,1,-1.5808124843030613,-1.5639494592740175
22107,LOUISIANA,TENSAS,1,0.5203602192638997,2,1,-5.7543376332325336,-2.4998273813945113
22109,LOUISIANA,TERREBONNE,0,0.2421712802768166,2,1,-1.213953937628773,-0.958349497885892
22111,LOUISIANA,UNION,0,0.2369431300776716,2,1,-1.5916486886652499,-0.20396392393425725
22113,LOUISIANA,VERMILION,0,0.1833186941882594,0,1,-0.8981268765062099,-0.48628982944918986
22115,LOUISIANA,VERNON,0,0.1678248783877692,0,1,-0.7322658703463858,-0.454203238583662
22117,LOUISIANA,WASHINGTON,0,0.3059498795674678,2,1,-3.1121306079505393,-1.0599532540198071
22119,LOUISIANA,WEBSTER,0,0.3388230127360562,2,1,-3.0150403059909374,-0.7961600928134609
22121,LOUISIANA,WEST BATON ROUGE,0,0.4398098886287863,2,1,-1.2038993025927762,-1.8436164881515795
22123,LOUISIANA,WEST CARROLL,0,0.1405384006334125,2,2,-1.9329424204931,0.4642743028386928
22125,LOUISIANA,WEST FELICIANA,0,0.3666241225271219,2,1,-1.1237974732379477,-1.9806123466294492
22127,LOUISIANA,WINN,0,0.2478714859437751,2,1,-1.795262497332177,-0.37882235541259385
23001,MAINE,ANDROSCOGGIN,0,0.46523811930392,0,0,0.7576199501629172,0.24139904704532375
23003,MAINE,AROOSTOOK,0,0.3854183927091963,0,2,0.018814729887194057,0.7344752200658116
23005,MAINE,CUMBERLAND,1,0.6572220464081179,1,0,3.241673151281325,-1.2009840205962548
23007,MAINE,FRANKLIN,0,0.4584919597704415,0,2,0.6598250857939947,0.7776188945892821
23009,MAINE,HANCOCK,1,0.5429140038120865,0,0,1.8187693128170654,0.1909298900980985
23011,MAINE,KENNEBEC,1,0.4806444949390622,0,2,1.2457177113022524,0.2179420574681572
23013,MAINE,KNOX,1,0.580439459127228,0,0,1.7429059136666898,0.4796587961563075
23015,MAINE,LINCOLN,1,0.5316678542985287,0,0,1.6916712067646085,0.3308417462665211
23017,MAINE,OXFORD,0,0.4364093463472345,0,2,0.1679150365963553,0.5874969279891502
23019,MAINE,PENOBSCOT,0,0.4378461216955174,0,2,0.889564718790855,0.1092698421789091
23021,MAINE,PISCATAQUIS,0,0.3518407362945178,0,2,-0.5122640110810945,1.0447815218661747
23023,MAINE,SAGADAHOC,1,0.557166392092257,1,0,2.0343598712048108,0.16442922554946676
23025,MAINE,SOMERSET,0,0.3659096616797618,0,2,-0.4069481511093296,0.8169746417350753
